county,state,pay,employee
Muscatine,Iowa,402,16
Polk,Iowa,41829,907
Pottawattamie,Iowa,1761,46
Scott,Iowa,1513,48
Sioux,Iowa,11701,234
Wapello,Iowa,392,15
Washington,Iowa,3085,72
Cowley,Kansas,6378,160
Crawford,Kansas,8826,275
Doniphan,Kansas,737,25
Franklin,Kansas,1201,41
Harvey,Kansas,3576,87
Johnson,Kansas,18468,364
Neosho,Kansas,2700,70
Reno,Kansas,2629,58
Riley,Kansas,963,25
Sedgwick,Kansas,10338,328
Shawnee,Kansas,4425,115
Wyandotte,Kansas,12088,271
Adair,Kentucky,2166,76
Barren,Kentucky,3883,113
Bath,Kentucky,349,13
Bell,Kentucky,443,17
Boone,Kentucky,69522,1225
Caldwell,Kentucky,1432,44
Carlisle,Kentucky,1262,53
Carter,Kentucky,897,40
Casey,Kentucky,6550,264
Christian,Kentucky,1656,69
Clark,Kentucky,9862,257
Crittenden,Kentucky,577,22
Cumberland,Kentucky,1420,51
Daviess,Kentucky,3938,40
Estill,Kentucky,1434,63
Fayette,Kentucky,32534,601
Fleming,Kentucky,3965,138
Franklin,Kentucky,1726,43
Graves,Kentucky,3646,111
Grayson,Kentucky,6529,198
Green,Kentucky,402,16
Greenup,Kentucky,8702,223
Hardin,Kentucky,760,31
Harlan,Kentucky,143,12
Hart,Kentucky,5310,110
Hopkins,Kentucky,1993,71
Jefferson,Kentucky,154524,2592
Jessamine,Kentucky,17260,343
Kenton,Kentucky,9853,161
Knox,Kentucky,8283,251
Laurel,Kentucky,19057,504
Leslie,Kentucky,110,7
Lewis,Kentucky,2713,96
Lincoln,Kentucky,627,28
Logan,Kentucky,3235,93
Marion,Kentucky,29900,750
Marshall,Kentucky,3920,84
Monroe,Kentucky,14647,465
Montgomery,Kentucky,1813,56
Muhlenberg,Kentucky,7203,239
Nelson,Kentucky,3270,84
Ohio,Kentucky,11447,289
Oldham,Kentucky,2547,80
Pulaski,Kentucky,40579,1360
Rowan,Kentucky,10385,342
Shelby,Kentucky,29667,525
Simpson,Kentucky,40942,641
Taylor,Kentucky,12757,481
Todd,Kentucky,6050,163
Trigg,Kentucky,2885,87
Warren,Kentucky,61084,911
Wayne,Kentucky,5420,224
Allen Parish,Louisiana,33316,582
Avoyelles Parish,Louisiana,3149,84
Beauregard Parish,Louisiana,10727,238
Bienville Parish,Louisiana,5938,116
Bossier Parish,Louisiana,4077,82
Caddo Parish,Louisiana,26337,516
Calcasieu Parish,Louisiana,13128,196
Caldwell Parish,Louisiana,3300,88
Catahoula Parish,Louisiana,1402,24
Claiborne Parish,Louisiana,1395,37
De Soto Parish,Louisiana,924,22
East Baton Rouge Parish,Louisiana,9608,243
East Feliciana Parish,Louisiana,2464,62
Grant Parish,Louisiana,2132,50
Jackson Parish,Louisiana,4338,109
Jefferson Parish,Louisiana,570,14
Lafayette Parish,Louisiana,2782,97
La Salle Parish,Louisiana,5189,105
Lincoln Parish,Louisiana,30464,566
Livingston Parish,Louisiana,18600,308
Natchitoches Parish,Louisiana,50979,1375
Orleans Parish,Louisiana,336,11
Ouachita Parish,Louisiana,135258,2112
Pointe Coupee Parish,Louisiana,247,11
Rapides Parish,Louisiana,27119,509
Red River Parish,Louisiana,8739,222
Richland Parish,Louisiana,134,4
Sabine Parish,Louisiana,62378,1255
St. Landry Parish,Louisiana,3875,109
St. Tammany Parish,Louisiana,4799,91
Tangipahoa Parish,Louisiana,4018,120
Terrebonne Parish,Louisiana,293,10
Union Parish,Louisiana,7449,183
Vermilion Parish,Louisiana,4033,70
Vernon Parish,Louisiana,4879,92
Washington Parish,Louisiana,66614,735
Webster Parish,Louisiana,1577,32
Winn Parish,Louisiana,58196,1140
Androscoggin,Maine,50129,926
Aroostook,Maine,69728,1506
Cumberland,Maine,46266,720
Franklin,Maine,17145,348
