county,state,pay,employee
Heard,Georgia,60051,1210
Henry,Georgia,1953212,53893
Houston,Georgia,1411074,39569
Irwin,Georgia,53285,1476
Jackson,Georgia,1075799,26231
Jasper,Georgia,50219,1613
Jeff Davis,Georgia,121691,3614
Jefferson,Georgia,137208,3810
Jenkins,Georgia,32099,1022
Johnson,Georgia,25152,860
Jones,Georgia,88421,2677
Lamar,Georgia,110281,3096
Lanier,Georgia,25630,807
Laurens,Georgia,613249,15530
Lee,Georgia,174139,3979
Liberty,Georgia,539260,12731
Lincoln,Georgia,25704,837
Long,Georgia,9359,391
Lowndes,Georgia,1455652,41953
Lumpkin,Georgia,155759,4984
McDuffie,Georgia,209610,6118
McIntosh,Georgia,33930,1237
Macon,Georgia,72915,1663
Madison,Georgia,70751,2245
Marion,Georgia,30656,1086
Meriwether,Georgia,124684,3246
Miller,Georgia,44941,1254
Mitchell,Georgia,152153,4912
Monroe,Georgia,243570,6233
Montgomery,Georgia,31399,1143
Morgan,Georgia,224058,6461
Murray,Georgia,245186,6656
Muscogee,Georgia,3660231,80780
Newton,Georgia,874726,19614
Oconee,Georgia,565719,14808
Oglethorpe,Georgia,37770,1231
Paulding,Georgia,648366,19786
Peach,Georgia,268489,6882
Pickens,Georgia,274936,6869
Pierce,Georgia,99660,2982
Pike,Georgia,62526,1889
Polk,Georgia,376834,10177
Pulaski,Georgia,82072,1973
Putnam,Georgia,154549,4231
Quitman,Georgia,6293,245
Rabun,Georgia,143217,4634
Randolph,Georgia,49395,1442
Richmond,Georgia,3777137,86391
Rockdale,Georgia,1660710,35158
Schley,Georgia,27915,722
Screven,Georgia,87592,2464
Seminole,Georgia,53002,1482
Spalding,Georgia,622326,16816
Stephens,Georgia,295807,8260
Stewart,Georgia,24774,730
Sumter,Georgia,286953,9247
Talbot,Georgia,22041,548
Taliaferro,Georgia,1147,57
Tattnall,Georgia,119575,3592
Taylor,Georgia,56261,1041
Telfair,Georgia,73793,2982
Terrell,Georgia,59601,1709
Thomas,Georgia,733577,17261
Tift,Georgia,590420,16519
Toombs,Georgia,318306,9167
Towns,Georgia,82184,2662
Treutlen,Georgia,17937,669
Troup,Georgia,1562615,33985
Turner,Georgia,49724,1623
Twiggs,Georgia,59023,1565
Union,Georgia,227660,6111
Upson,Georgia,201726,5465
Walker,Georgia,341501,10653
Walton,Georgia,682116,17929
Ware,Georgia,386901,11972
Warren,Georgia,37103,898
Washington,Georgia,218689,5084
Wayne,Georgia,223984,5922
Webster,Georgia,15034,329
Wheeler,Georgia,25720,692
White,Georgia,213097,6590
Whitfield,Georgia,2130024,47826
Wilcox,Georgia,14737,466
Wilkes,Georgia,66385,1960
Wilkinson,Georgia,105324,2126
Worth,Georgia,97438,2777
Hawaii,Hawaii,2217336,56363
Honolulu,Hawaii,17628640,369144
Kauai,Hawaii,1181526,28566
Maui,Hawaii,2831617,67338
Ada,Idaho,10236127,205792
Adams,Idaho,17190,533
Bannock,Idaho,901343,24685
Bear Lake,Idaho,29035,983
Benewah,Idaho,88139,2121
Bingham,Idaho,402270,10402
Blaine,Idaho,499273,11696
Boise,Idaho,20388,726
Bonner,Idaho,463273,12835
Bonneville,Idaho,2372506,51115
Boundary,Idaho,93783,2644
Butte,Idaho,10525,345
Camas,Idaho,5078,187
Canyon,Idaho,2020740,55407
Caribou,Idaho,173429,2468
Cassia,Idaho,288732,7870
Clark,Idaho,2781,78
Clearwater,Idaho,71567,1731
Custer,Idaho,27912,790
Elmore,Idaho,133639,4130
Franklin,Idaho,76310,2311
Fremont,Idaho,63989,1734
Gem,Idaho,89779,2776
Gooding,Idaho,111310,2843
Idaho,Idaho,122614,3405
Jefferson,Idaho,141840,4182
Jerome,Idaho,244873,6407
Kootenai,Idaho,2246639,54852
Latah,Idaho,270455,8994
Lemhi,Idaho,59034,1897
Lewis,Idaho,27311,835
Lincoln,Idaho,21146,584
Madison,Idaho,453323,18960
Minidoka,Idaho,220289,5220
Nez Perce,Idaho,707384,17601
Oneida,Idaho,22562,781
Owyhee,Idaho,59165,1825
Payette,Idaho,211663,5590
Power,Idaho,91905,2211
Shoshone,Idaho,143034,3896
Teton,Idaho,112239,2618
Twin Falls,Idaho,1084386,31042
Valley,Idaho,130118,3840
Washington,Idaho,64703,1943
Adams,Illinois,1343410,31431
Alexander,Illinois,32406,911
Bond,Illinois,132813,3964
Boone,Illinois,920466,16693
Brown,Illinois,162404,3398
Bureau,Illinois,416018,9923
Calhoun,Illinois,12161,526
Carroll,Illinois,128255,3403
Cass,Illinois,180150,4283
Champaign,Illinois,2988790,69821
Christian,Illinois,306593,8294
Clark,Illinois,142398,3851
Clay,Illinois,210938,5129
Clinton,Illinois,299877,8974
