STATEFP,COUNTYFP,state_abb,state,county,pct.forest,pct.employees,pct.earnings,pct.indigenous,nonmetro,rural
5,127,AR,Arkansas,Scott,78.51,2.68,2.72,2.38,1,0
5,129,AR,Arkansas,Searcy,66.95,5.17,2.8,2.56,1,1
5,131,AR,Arkansas,Sebastian,44.67,2.05,2.79,1.31,0,0
5,133,AR,Arkansas,Sevier,65.88,2.29,4.67,2.41,1,0
5,135,AR,Arkansas,Sharp,66.16,0,0,0.56,1,0
5,137,AR,Arkansas,Stone,85.8,2.48,2.65,0.51,1,1
5,139,AR,Arkansas,Union,93.64,6.12,6.09,0.98,1,0
5,141,AR,Arkansas,Van Buren,75.43,0,0,0.72,1,1
5,143,AR,Arkansas,Washington,53.32,0.79,0.6,3.17,0,0
5,145,AR,Arkansas,White,35.54,0.39,0.31,0.38,1,0
5,147,AR,Arkansas,Woodruff,29.96,0,0,0.09,1,1
5,149,AR,Arkansas,Yell,79.99,0.45,0.48,0.54,1,0
6,1,CA,California,Alameda,24.04,0.22,0.22,1.49,0,0
6,3,CA,California,Alpine,81.81,0,0,27.84,1,1
6,5,CA,California,Amador,55.76,0.12,0.19,1,1,0
6,7,CA,California,Butte,50.77,0.5,0.63,1.46,0,0
6,9,CA,California,Calaveras,77.08,0.22,0.65,1.37,1,0
6,11,CA,California,Colusa,27.83,0,0,1.18,1,0
6,13,CA,California,Contra Costa,12.03,0.03,0.02,0.98,0,0
6,15,CA,California,Del Norte,100.52,1.01,1.14,7.44,1,0
6,17,CA,California,El Dorado,74.29,0.06,0.13,0.9,0,0
6,19,CA,California,Fresno,30.91,0.62,0.7,1.3,0,0
6,21,CA,California,Glenn,23.2,0,0,2.58,1,0
6,23,CA,California,Humboldt,73.2,3.06,4.62,5.33,1,0
6,25,CA,California,Imperial,0.21,0.03,0.03,1.23,0,0
6,27,CA,California,Inyo,7.72,0,0,11.81,1,0
6,29,CA,California,Kern,13.89,0.2,0.2,1.27,0,0
6,31,CA,California,Kings,0,0,0,1.75,0,0
6,33,CA,California,Lake,44.51,0.23,0.1,3.83,1,0
6,35,CA,California,Lassen,44.18,1.32,2.65,3.47,1,0
6,37,CA,California,Los Angeles,7.14,0.25,0.23,0.97,0,0
6,39,CA,California,Madera,45.85,1.05,1.39,1.73,0,0
6,41,CA,California,Marin,28.86,0.02,0.02,0.51,0,0
6,43,CA,California,Mariposa,67.03,0,0,2.57,1,1
6,45,CA,California,Mendocino,74.32,4.1,5.46,4.3,1,0
6,47,CA,California,Merced,2.16,0.28,0.32,0.97,0,0
6,49,CA,California,Modoc,49.02,0.97,3.14,3.4,1,0
6,51,CA,California,Mono,40.1,0,0,3.72,1,0
6,53,CA,California,Monterey,20.98,0.44,0.53,1.21,0,0
6,55,CA,California,Napa,37.21,0.37,0.43,1.05,0,0
6,57,CA,California,Nevada,66.87,0.38,0.54,1.03,1,0
6,59,CA,California,Orange,0.42,0.21,0.21,0.76,0,0
6,61,CA,California,Placer,64.49,0.4,0.43,0.72,0,0
6,63,CA,California,Plumas,88.52,0.61,1.11,2.51,1,0
6,65,CA,California,Riverside,2.01,0.54,0.6,1.1,0,0
6,67,CA,California,Sacramento,1.87,0.39,0.33,1.79,0,0
6,69,CA,California,San Benito,14.69,1.51,1.18,0.91,0,0
6,71,CA,California,San Bernardino,3.34,0.59,0.69,1.14,0,0
6,73,CA,California,San Diego,4.66,0.11,0.09,1.06,0,0
6,75,CA,California,San Francisco,0,0.03,0.01,0.65,0,0
6,77,CA,California,San Joaquin,1.51,1.1,1.07,1.25,0,0
6,79,CA,California,San Luis Obispo,11.1,0.04,0.03,0.77,0,0
6,81,CA,California,San Mateo,29.33,0.03,0.01,1.75,0,0
6,83,CA,California,Santa Barbara,13.32,0.08,0.05,1.17,0,0
6,85,CA,California,Santa Clara,33.66,0.11,0.04,0.88,0,0
6,87,CA,California,Santa Cruz,74.03,0.17,0.24,0.62,0,0
6,89,CA,California,Shasta,74.8,2.14,3.15,2.73,0,0
6,91,CA,California,Sierra,86.91,0,0,0.85,1,1
6,93,CA,California,Siskiyou,76.07,6.64,9.84,3.72,1,0
6,95,CA,California,Solano,4.99,0.09,0.06,1.42,0,0
6,97,CA,California,Sonoma,43.26,0.33,0.33,1.29,0,0
6,99,CA,California,Stanislaus,9.63,1.16,1.3,1.53,0,0
6,101,CA,California,Sutter,2.5,0.52,0.6,1.57,0,0
6,103,CA,California,Tehama,50.86,9.65,11.85,2.59,1,0
6,105,CA,California,Trinity,89.55,0,0,5.71,1,1
